region,year,month,price_cowpeas,price_groundnuts,price_maize,price_millet,price_rice,price_sorghum,price_lag1,price_change_pct,price_volatility_3m,price_shock_flag
Ashanti,2003,1,5.18,6.55,2.99,3.63,4.43,3.08,,,,0
Ashanti,2003,2,5.31,5.82,2.53,3.35,4.57,2.95,2.99,-15.38,,0
Ashanti,2003,3,5.45,5.71,2.5,2.77,4.6,2.74,2.53,-1.19,10.034,0
Ashanti,2003,4,5.1,5.6,2.31,2.75,4.7,2.13,2.5,-7.6,7.106,0
Ashanti,2003,5,4.59,5.41,2.3,2.57,4.77,2.27,2.31,-0.43,3.939,0
Ashanti,2003,6,4.64,5.86,2.45,2.51,5.03,2.59,2.3,6.52,7.06,0
Ashanti,2003,7,5.26,6.22,2.59,2.79,4.83,2.51,2.45,5.71,3.8,0
Ashanti,2003,8,5.61,6.78,2.87,2.93,4.79,2.58,2.59,10.81,2.741,0
Ashanti,2003,9,5.47,6.5,3.08,2.9,5.05,2.54,2.87,7.32,2.607,0
Ashanti,2003,10,5.96,6.47,2.74,2.71,4.95,2.63,3.08,-11.04,11.738,0
Ashanti,2003,11,5.3,6.6,2.69,2.83,5.16,2.5,2.74,-1.82,9.18,0
Ashanti,2003,12,5.87,6.32,3.25,3.45,4.97,2.87,2.69,20.82,16.394,1
Ashanti,2004,1,6.47,7.63,3.44,4.34,5.59,3.51,3.25,5.85,11.514,0
Ashanti,2004,2,7.03,6.98,3.17,3.7,5.17,3.38,3.44,-7.85,14.34,0
Ashanti,2004,3,6.65,5.83,2.89,3.82,5.77,2.72,3.17,-8.83,8.207,0
Ashanti,2004,4,5.42,6.25,2.6,3.22,5.5,2.64,2.89,-10.03,1.092,0
Ashanti,2004,5,5.5,6.59,2.57,3.14,5.82,2.42,2.6,-1.15,4.818,0
Ashanti,2004,6,5.65,6.62,2.48,2.99,5.43,2.89,2.57,-3.5,4.601,0
Ashanti,2004,7,6.17,6.82,3.01,3.09,5.15,3.02,2.48,21.37,13.731,1
Ashanti,2004,8,6.79,7.48,3.5,3.24,5.31,2.97,3.01,16.28,13.138,0
Ashanti,2004,9,6.31,8.26,3.35,3.47,6.58,3.04,3.5,-4.29,13.586,0
Ashanti,2004,10,6.39,7.78,3.38,3.22,5.74,2.7,3.35,0.9,10.697,0
Ashanti,2004,11,6.67,6.99,3.15,2.92,6.31,2.75,3.38,-6.8,3.927,0
Ashanti,2004,12,6.93,7.16,3.61,3.97,5.66,3.16,3.15,14.6,10.839,0
Ashanti,2005,1,7.43,8.8,3.91,4.33,6.17,3.74,3.61,8.31,10.999,0
Ashanti,2005,2,7.27,7.41,3.53,4.27,6.3,3.62,3.91,-9.72,12.623,0
Ashanti,2005,3,7.34,7.35,3.4,4.04,7.14,3.16,3.53,-3.68,9.177,0
Ashanti,2005,4,6.52,7.3,3.06,3.62,6.22,2.85,3.4,-10.0,3.571,0
Ashanti,2005,5,6.47,7.71,2.82,3.26,6.16,2.84,3.06,-7.84,3.212,0
Ashanti,2005,6,6.86,8.0,2.93,3.23,6.57,3.16,2.82,3.9,7.48,0
Ashanti,2005,7,7.14,7.86,3.43,3.47,6.22,2.78,2.93,17.06,12.457,0
Ashanti,2005,8,7.4,8.11,4.04,3.86,6.73,3.59,3.43,17.78,7.814,0
Ashanti,2005,9,6.98,8.29,3.7,3.65,6.64,3.07,4.04,-8.42,14.923,0
Ashanti,2005,10,7.67,9.3,3.54,3.35,6.47,3.04,3.7,-4.32,14.093,0
Ashanti,2005,11,6.93,8.0,3.46,3.06,6.96,3.2,3.54,-2.26,3.136,0
Ashanti,2005,12,7.96,8.92,4.05,3.65,6.9,3.63,3.46,17.05,11.788,0
Ashanti,2006,1,8.4,9.66,4.4,5.01,7.19,4.16,4.05,8.64,9.682,0
Ashanti,2006,2,8.71,8.56,4.01,4.33,7.58,4.16,4.4,-8.86,13.218,0
Ashanti,2006,3,8.33,8.18,3.59,4.14,6.89,3.4,4.01,-10.47,10.599,0
Ashanti,2006,4,7.31,7.48,3.52,3.66,6.99,3.24,3.59,-1.95,4.526,0
Ashanti,2006,5,7.16,8.55,3.12,3.89,6.72,2.86,3.52,-11.36,5.195,0
Ashanti,2006,6,7.57,8.3,3.67,3.57,7.46,3.28,3.12,17.63,14.789,0
Ashanti,2006,7,8.2,9.31,3.84,3.91,7.1,3.43,3.67,4.63,14.521,0
Ashanti,2006,8,8.29,9.02,4.24,4.11,7.53,3.73,3.84,10.42,6.513,0
Ashanti,2006,9,8.15,9.62,4.22,3.37,7.91,3.5,4.24,-0.47,5.449,0
Ashanti,2006,10,8.16,8.84,3.78,3.58,7.28,3.32,4.22,-10.43,10.428,0
Ashanti,2006,11,8.26,8.84,3.85,3.45,7.42,3.19,3.78,1.85,6.524,0
Ashanti,2006,12,8.5,8.93,4.39,4.92,8.06,3.74,3.85,14.03,12.23,0
Ashanti,2007,1,9.91,10.77,4.9,4.9,8.01,4.3,4.39,11.62,6.45,0
Ashanti,2007,2,9.66,9.73,4.28,4.9,8.04,3.94,4.9,-12.65,14.757,0
Ashanti,2007,3,10.17,9.95,3.92,4.56,7.72,4.0,4.28,-8.41,12.963,0
Ashanti,2007,4,8.56,8.2,3.35,3.82,7.37,3.5,3.92,-14.54,3.139,0
Ashanti,2007,5,8.68,9.45,3.43,3.85,7.72,3.32,3.35,2.39,8.572,0
Ashanti,2007,6,8.91,8.73,3.65,3.85,7.67,3.59,3.43,6.41,11.118,0
Ashanti,2007,7,9.72,9.71,4.05,4.13,8.38,3.72,3.65,10.96,4.288,0
Ashanti,2007,8,8.93,9.55,4.61,4.45,8.33,3.6,4.05,13.83,3.742,0
Ashanti,2007,9,8.99,10.82,4.48,4.2,8.03,3.74,4.61,-2.82,8.901,0
Ashanti,2007,10,9.8,8.99,4.39,4.03,8.17,3.75,4.48,-2.01,9.388,0
Ashanti,2007,11,9.29,9.5,4.21,4.2,8.62,3.35,4.39,-4.1,1.054,0
Ashanti,2007,12,9.61,10.48,4.93,4.49,8.35,3.76,4.21,17.1,11.683,0
Ashanti,2008,1,11.52,15.7,6.79,7.53,10.38,5.51,4.93,37.73,20.916,1
Ashanti,2008,2,13.92,11.81,6.14,6.41,11.84,5.61,6.79,-9.57,23.714,0
Ashanti,2008,3,12.33,12.65,5.56,6.04,10.56,4.63,6.14,-9.45,27.274,0
Ashanti,2008,4,11.67,11.75,5.26,5.45,11.31,4.42,5.56,-5.4,2.374,0
Ashanti,2008,5,11.73,10.99,4.95,5.27,11.24,4.24,5.26,-5.89,2.21,0
Ashanti,2008,6,11.9,11.8,4.72,5.33,10.26,4.61,4.95,-4.65,0.625,0
Ashanti,2008,7,13.45,12.7,5.65,5.26,10.81,4.66,4.72,19.7,14.43,0
Ashanti,2008,8,12.98,14.1,5.75,6.32,11.74,5.06,5.65,1.77,12.62,0
