region,district,year,month,rainfall_mm,rainfall_avg_mm,rainfall_anomaly_pct,rainfall_1m_mm,rainfall_1m_avg_mm,rainfall_1m_anomaly_pct,rainfall_3m_mm,rainfall_3m_avg_mm,rainfall_3m_anomaly_pct,flood_flag,drought_flag,price_cowpeas,price_groundnuts,price_maize,price_millet,price_rice,price_sorghum,price_lag1,price_change_pct,price_volatility_3m,price_shock_flag,conflict_events,fatalities_total,flood_displace_events,conflict_events_lag1,flood_displace_lag1,high_conflict_flag,season_phase,is_lean_season,district_vulnerability,ipc_phase,flood_price_interaction
Greater Accra,Accra Metropolitan,2003,1,10.142,7.75,20.05,30.42,23.25,18.05,91.255,69.75,16.025,0,0,5.6,6.56,2.83,3.23,4.88,3.16,,,,0.0,3.0,0.0,0.0,0.0,0.0,1.0,lean,1,1,2,0.0
Greater Accra,Accra Metropolitan,2003,2,29.535,31.5,-6.2,88.615,94.5,-5.6,265.85,283.5,-4.95,0,0,5.66,6.14,3.01,3.44,4.72,3.05,2.83,6.36,,0.0,2.0,1.0,0.0,3.0,0.0,0.0,lean,1,1,2,0.0
Greater Accra,Accra Metropolitan,2003,3,22.927,20.0,17.4,68.777,60.0,15.633,206.333,180.0,13.933,0,0,5.87,6.04,2.63,2.96,4.92,2.71,3.01,-12.62,13.421,0.0,2.0,1.0,0.0,2.0,0.0,0.0,planting_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2003,4,19.71,19.333,-4.267,59.133,58.0,-3.833,177.393,174.0,-3.4,0,0,4.99,5.49,2.45,2.73,4.94,2.28,2.63,-6.84,9.729,0.0,1.0,0.0,0.0,2.0,0.0,0.0,planting_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2003,5,1.473,2.25,-49.975,4.415,6.75,-44.975,13.248,20.25,-39.975,0,1,4.94,5.88,2.36,2.57,4.6,2.18,2.45,-3.67,4.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,growing_s1,0,1,2,-0.0
Greater Accra,Accra Metropolitan,2003,6,7.353,8.333,-17.9,22.057,25.0,-16.1,66.173,75.0,-14.3,0,0,4.95,6.2,2.32,2.5,5.3,2.58,2.36,-1.69,2.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,growing_s1,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2003,7,3.673,4.0,0.767,11.023,12.0,0.733,33.067,36.0,0.633,0,0,5.18,6.25,2.64,2.95,4.47,2.4,2.32,13.79,9.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,harvest_s1,0,1,1,0.0
Greater Accra,Accra Metropolitan,2003,8,2.6,3.333,-27.0,7.793,10.0,-24.3,23.377,30.0,-21.6,0,0,5.54,6.35,2.97,2.95,5.06,2.65,2.64,12.5,8.589,0.0,2.0,0.0,0.0,1.0,0.0,0.0,inter_season,0,1,2,0.0
Greater Accra,Accra Metropolitan,2003,9,2.743,3.0,-9.133,8.233,9.0,-8.2,24.707,27.0,-7.3,0,0,6.04,7.26,2.95,2.88,4.52,2.82,2.97,-0.67,8.002,0.0,1.0,5.0,0.0,2.0,0.0,0.0,growing_s2,0,1,1,-0.0
Greater Accra,Accra Metropolitan,2003,10,2.07,2.667,-20.8,6.203,8.0,-18.7,18.613,24.0,-16.633,0,0,5.44,6.84,2.93,2.83,4.67,2.59,2.95,-0.68,7.607,0.0,2.0,4.0,0.0,1.0,0.0,0.0,growing_s2,0,1,2,-0.0
