event_id_cnty,event_date,year,event_type,sub_event_type,admin1,admin2,location,latitude,longitude,fatalities,notes
GHA1,2003-01-15,2003,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.2593,-0.3764,0,Event recorded in Greater Accra on 2003-01-15
GHA2,2003-01-18,2003,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.5719,0.1484,0,Event recorded in Greater Accra on 2003-01-18
GHA3,2003-01-20,2003,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.4994,0.3104,0,Event recorded in Greater Accra on 2003-01-20
GHA4,2003-02-11,2003,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.7575,-0.5402,0,Event recorded in Greater Accra on 2003-02-11
GHA5,2003-02-22,2003,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.9856,-0.1935,1,Event recorded in Greater Accra on 2003-02-22
GHA6,2003-03-15,2003,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.3928,-0.4946,1,Event recorded in Greater Accra on 2003-03-15
GHA7,2003-03-30,2003,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,6.1106,-0.5566,0,Event recorded in Greater Accra on 2003-03-30
GHA8,2003-04-10,2003,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.4249,-0.0286,0,Event recorded in Greater Accra on 2003-04-10
GHA9,2003-08-24,2003,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.3773,-0.3062,0,Event recorded in Greater Accra on 2003-08-24
GHA10,2003-08-29,2003,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.5073,0.0976,0,Event recorded in Greater Accra on 2003-08-29
GHA11,2003-09-06,2003,Battles,Battles,Greater Accra,Greater Accra,Greater Accra,5.0149,0.3116,5,Event recorded in Greater Accra on 2003-09-06
GHA12,2003-10-17,2003,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.4527,0.3894,2,Event recorded in Greater Accra on 2003-10-17
GHA13,2003-10-27,2003,Battles,Battles,Greater Accra,Greater Accra,Greater Accra,5.3304,0.1255,2,Event recorded in Greater Accra on 2003-10-27
GHA14,2003-11-20,2003,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.2807,-0.9417,0,Event recorded in Greater Accra on 2003-11-20
GHA15,2003-12-09,2003,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.148,-0.5694,3,Event recorded in Greater Accra on 2003-12-09
GHA16,2004-01-19,2004,Battles,Battles,Greater Accra,Greater Accra,Greater Accra,5.978,0.053,2,Event recorded in Greater Accra on 2004-01-19
GHA17,2004-01-22,2004,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.6812,-0.0627,4,Event recorded in Greater Accra on 2004-01-22
GHA18,2004-04-07,2004,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.4989,-0.1096,0,Event recorded in Greater Accra on 2004-04-07
GHA19,2004-04-09,2004,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.2581,-0.2172,0,Event recorded in Greater Accra on 2004-04-09
GHA20,2004-05-01,2004,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.4774,-0.5177,0,Event recorded in Greater Accra on 2004-05-01
GHA21,2004-05-05,2004,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.6388,-0.2703,0,Event recorded in Greater Accra on 2004-05-05
GHA22,2004-07-17,2004,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.8314,-0.0178,0,Event recorded in Greater Accra on 2004-07-17
GHA23,2004-07-19,2004,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.8222,-0.3555,0,Event recorded in Greater Accra on 2004-07-19
GHA24,2004-09-24,2004,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,6.1155,-0.1961,0,Event recorded in Greater Accra on 2004-09-24
GHA25,2004-11-13,2004,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,6.1103,-0.1013,0,Event recorded in Greater Accra on 2004-11-13
GHA26,2004-12-19,2004,Battles,Battles,Greater Accra,Greater Accra,Greater Accra,5.8212,-0.1664,3,Event recorded in Greater Accra on 2004-12-19
GHA27,2004-12-20,2004,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.6195,-0.8007,0,Event recorded in Greater Accra on 2004-12-20
GHA28,2005-02-15,2005,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.8585,-0.2199,0,Event recorded in Greater Accra on 2005-02-15
GHA29,2005-03-11,2005,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.6374,0.0029,0,Event recorded in Greater Accra on 2005-03-11
GHA30,2005-03-18,2005,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.561,-0.5511,0,Event recorded in Greater Accra on 2005-03-18
GHA31,2005-04-06,2005,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.4112,0.3077,0,Event recorded in Greater Accra on 2005-04-06
GHA32,2005-04-17,2005,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.294,-0.1492,0,Event recorded in Greater Accra on 2005-04-17
GHA33,2005-04-27,2005,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.3175,-0.0542,0,Event recorded in Greater Accra on 2005-04-27
GHA34,2005-06-09,2005,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.5039,-0.2431,0,Event recorded in Greater Accra on 2005-06-09
GHA35,2005-09-14,2005,Battles,Battles,Greater Accra,Greater Accra,Greater Accra,5.7913,0.4194,1,Event recorded in Greater Accra on 2005-09-14
GHA36,2005-09-26,2005,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.374,-0.2167,0,Event recorded in Greater Accra on 2005-09-26
GHA37,2005-10-07,2005,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.6359,-0.4095,0,Event recorded in Greater Accra on 2005-10-07
GHA38,2005-11-09,2005,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.8478,-0.9351,0,Event recorded in Greater Accra on 2005-11-09
GHA39,2005-11-19,2005,Explosions/Remote violence,Explosions/Remote violence,Greater Accra,Greater Accra,Greater Accra,5.9703,-0.597,0,Event recorded in Greater Accra on 2005-11-19
GHA40,2005-12-13,2005,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.3887,-0.5448,0,Event recorded in Greater Accra on 2005-12-13
GHA41,2006-01-01,2006,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.4266,-0.1182,0,Event recorded in Greater Accra on 2006-01-01
GHA42,2006-02-20,2006,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.2376,-0.5066,1,Event recorded in Greater Accra on 2006-02-20
GHA43,2006-03-05,2006,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.566,-0.2823,0,Event recorded in Greater Accra on 2006-03-05
GHA44,2006-03-06,2006,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.1451,-0.6475,0,Event recorded in Greater Accra on 2006-03-06
GHA45,2006-03-09,2006,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.4778,0.157,0,Event recorded in Greater Accra on 2006-03-09
GHA46,2006-03-14,2006,Riots,Riots,Greater Accra,Greater Accra,Greater Accra,5.6181,-0.2081,0,Event recorded in Greater Accra on 2006-03-14
GHA47,2006-05-16,2006,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.9662,-0.2777,0,Event recorded in Greater Accra on 2006-05-16
GHA48,2006-05-21,2006,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.5565,-0.0703,0,Event recorded in Greater Accra on 2006-05-21
GHA49,2006-05-27,2006,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,4.8495,0.2988,2,Event recorded in Greater Accra on 2006-05-27
GHA50,2006-06-13,2006,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.486,0.1749,0,Event recorded in Greater Accra on 2006-06-13
GHA51,2006-06-21,2006,Flood displacement event,Flood displacement event,Greater Accra,Greater Accra,Greater Accra,5.5501,-0.3824,0,Event recorded in Greater Accra on 2006-06-21
GHA52,2006-07-22,2006,Battles,Battles,Greater Accra,Greater Accra,Greater Accra,5.5595,0.3497,1,Event recorded in Greater Accra on 2006-07-22
GHA53,2006-07-25,2006,Strategic developments,Strategic developments,Greater Accra,Greater Accra,Greater Accra,5.5109,-0.3919,0,Event recorded in Greater Accra on 2006-07-25
GHA54,2006-08-29,2006,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.6011,-0.2906,2,Event recorded in Greater Accra on 2006-08-29
GHA55,2006-10-14,2006,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.5262,0.1947,2,Event recorded in Greater Accra on 2006-10-14
GHA56,2006-11-22,2006,Protests,Protests,Greater Accra,Greater Accra,Greater Accra,5.8405,-0.5704,0,Event recorded in Greater Accra on 2006-11-22
GHA57,2006-12-11,2006,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,5.7393,-0.2272,4,Event recorded in Greater Accra on 2006-12-11
GHA58,2006-12-19,2006,Violence against civilians,Violence against civilians,Greater Accra,Greater Accra,Greater Accra,6.0467,-0.4317,0,Event recorded in Greater Accra on 2006-12-19
