date,adm1_name,adm2_name,rfh,rfh_avg,rfq,r1h,r1h_avg,r1q,r3h,r3h_avg,r3q
2003-01-01,Greater Accra,Accra Metropolitan,2.5,2,23.7,7.49,6,21.3,22.47,18,18.9
2003-01-11,Greater Accra,Accra Metropolitan,2.83,3,-5.6,8.48,9,-5.0,25.44,27,-4.5
2003-01-21,Greater Accra,Accra Metropolitan,9.62,8,20.0,28.86,24,18.0,86.57,72,16.0
2003-01-31,Greater Accra,Accra Metropolitan,25.62,18,42.1,76.85,54,37.9,230.54,162,33.7
2003-02-10,Greater Accra,Accra Metropolitan,26.24,28,-6.2,78.73,84,-5.6,236.19,252,-5.0
2003-02-20,Greater Accra,Accra Metropolitan,32.83,35,-6.2,98.5,105,-5.6,295.51,315,-4.9
2003-03-02,Greater Accra,Accra Metropolitan,28.69,20,43.2,86.06,60,38.9,258.17,180,34.6
2003-03-12,Greater Accra,Accra Metropolitan,18.26,15,21.6,54.78,45,19.4,164.35,135,17.3
2003-03-22,Greater Accra,Accra Metropolitan,21.83,25,-12.6,65.49,75,-11.4,196.48,225,-10.1
2003-04-01,Greater Accra,Accra Metropolitan,36.61,32,14.4,109.84,96,12.9,329.51,288,11.5
2003-04-11,Greater Accra,Accra Metropolitan,15.68,18,-12.8,47.05,54,-11.5,141.15,162,-10.2
2003-04-21,Greater Accra,Accra Metropolitan,6.84,8,-14.4,20.51,24,-12.9,61.52,72,-11.5
2003-05-01,Greater Accra,Accra Metropolitan,4.36,4,8.9,13.09,12,8.0,39.27,36,7.1
2003-05-11,Greater Accra,Accra Metropolitan,0.09,2,-91.1,0.26,6,-82.0,0.78,18,-72.9
2003-05-21,Greater Accra,Accra Metropolitan,0.0,1,-90.9,0.0,3,-81.8,0.0,9,-72.7
2003-05-31,Greater Accra,Accra Metropolitan,1.44,2,-26.8,4.31,6,-24.1,12.94,18,-21.4
2003-06-10,Greater Accra,Accra Metropolitan,3.23,5,-34.8,9.68,15,-31.3,29.05,45,-27.8
2003-06-20,Greater Accra,Accra Metropolitan,13.1,12,9.1,39.3,36,8.2,117.9,108,7.3
2003-06-30,Greater Accra,Accra Metropolitan,5.73,8,-28.0,17.19,24,-25.2,51.57,72,-22.4
2003-07-10,Greater Accra,Accra Metropolitan,2.53,5,-48.5,7.59,15,-43.6,22.76,45,-38.8
2003-07-20,Greater Accra,Accra Metropolitan,4.83,3,59.1,14.5,9,53.2,43.49,27,47.3
2003-07-30,Greater Accra,Accra Metropolitan,3.66,4,-8.3,10.98,12,-7.4,32.95,36,-6.6
2003-08-09,Greater Accra,Accra Metropolitan,5.12,5,2.3,15.35,15,2.1,46.06,45,1.9
2003-08-19,Greater Accra,Accra Metropolitan,1.22,3,-57.4,3.66,9,-51.7,10.97,27,-46.0
2003-08-29,Greater Accra,Accra Metropolitan,1.46,2,-25.9,4.37,6,-23.3,13.1,18,-20.7
2003-09-08,Greater Accra,Accra Metropolitan,2.11,2,5.3,6.33,6,4.8,19.0,18,4.2
2003-09-18,Greater Accra,Accra Metropolitan,1.56,3,-46.4,4.68,9,-41.8,14.05,27,-37.1
2003-09-28,Greater Accra,Accra Metropolitan,4.56,4,13.7,13.69,12,12.4,41.07,36,11.0
2003-10-08,Greater Accra,Accra Metropolitan,2.25,3,-24.2,6.75,9,-21.8,20.24,27,-19.4
2003-10-18,Greater Accra,Accra Metropolitan,1.71,2,-13.9,5.12,6,-12.5,15.37,18,-11.1
2003-10-28,Greater Accra,Accra Metropolitan,2.25,3,-24.3,6.74,9,-21.8,20.23,27,-19.4
2003-11-07,Greater Accra,Accra Metropolitan,5.32,3,74.7,15.95,9,67.2,47.84,27,59.8
2003-11-17,Greater Accra,Accra Metropolitan,1.99,2,-0.6,5.96,6,-0.6,17.88,18,-0.5
2003-11-27,Greater Accra,Accra Metropolitan,2.41,4,-38.7,7.24,12,-34.8,21.72,36,-31.0
2003-12-07,Greater Accra,Accra Metropolitan,7.65,6,27.0,22.94,18,24.3,68.81,54,21.6
2003-12-17,Greater Accra,Accra Metropolitan,7.73,12,-35.3,23.18,36,-31.8,69.54,108,-28.3
2003-12-27,Greater Accra,Accra Metropolitan,2.21,2,9.9,6.63,6,9.0,19.88,18,8.0
2004-01-06,Greater Accra,Accra Metropolitan,0.55,3,-79.0,1.65,9,-71.1,4.95,27,-63.2
2004-01-16,Greater Accra,Accra Metropolitan,4.68,8,-41.0,14.04,24,-36.9,42.12,72,-32.8
2004-01-26,Greater Accra,Accra Metropolitan,18.98,18,5.4,56.95,54,4.9,170.86,162,4.4
2004-02-05,Greater Accra,Accra Metropolitan,33.54,28,19.7,100.62,84,17.7,301.85,252,15.8
2004-02-15,Greater Accra,Accra Metropolitan,36.59,35,4.5,109.76,105,4.1,329.27,315,3.6
2004-02-25,Greater Accra,Accra Metropolitan,19.36,20,-3.2,58.09,60,-2.8,174.28,180,-2.5
2004-03-06,Greater Accra,Accra Metropolitan,13.72,15,-8.5,41.16,45,-7.6,123.48,135,-6.8
2004-03-16,Greater Accra,Accra Metropolitan,15.02,25,-39.8,45.06,75,-35.8,135.18,225,-31.8
2004-03-26,Greater Accra,Accra Metropolitan,25.88,32,-19.1,77.64,96,-17.2,232.93,288,-15.2
2004-04-05,Greater Accra,Accra Metropolitan,15.7,18,-12.7,47.09,54,-11.5,141.27,162,-10.2
2004-04-15,Greater Accra,Accra Metropolitan,10.64,8,32.6,31.93,24,29.4,95.79,72,26.1
2004-04-25,Greater Accra,Accra Metropolitan,4.52,4,12.6,13.55,12,11.3,40.64,36,10.1
2004-05-05,Greater Accra,Accra Metropolitan,0.24,2,-84.0,0.71,6,-75.6,2.13,18,-67.2
2004-05-15,Greater Accra,Accra Metropolitan,1.24,1,22.1,3.73,3,19.9,11.19,9,17.7
