date,admin1,admin2,market,category,commodity,unit,pricetype,currency,price,usdprice
2003-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,2.83,0.94
2003-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.01,1.0
2003-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,2.63,0.86
2003-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,2.45,0.8
2003-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,2.36,0.76
2003-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,2.32,0.74
2003-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,2.64,0.84
2003-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,2.97,0.94
2003-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,2.95,0.92
2003-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,2.93,0.91
2003-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,2.92,0.9
2003-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.26,1.0
2004-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.59,1.09
2004-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.5,1.05
2004-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,2.91,0.87
2004-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,2.83,0.84
2004-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,2.62,0.77
2004-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,2.81,0.82
2004-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.03,0.88
2004-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.17,0.91
2004-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.34,0.95
2004-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.21,0.91
2004-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,2.94,0.83
2004-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.52,0.98
2005-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.73,1.04
2005-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.45,0.95
2005-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.23,0.88
2005-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,2.81,0.76
2005-05-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,2.79,0.75
2005-06-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.18,0.85
2005-07-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.69,0.98
2005-08-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.21,1.12
2005-09-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.6,0.95
2005-10-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.74,0.98
2005-11-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.44,0.89
2005-12-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.91,1.01
2006-01-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.44,1.14
2006-02-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,4.24,1.08
2006-03-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.6,0.91
2006-04-01,Greater Accra,Greater Accra,Accra,Cereals and Tubers,Maize (white),KG,Retail,GHS,3.26,0.82
